section,bucket,value
A · per token kind,ISI N,3521 rows; single in same category: 697; active online: 2030
A · per token kind,N x M + unit,112 rows; single in same category: 30; active online: 53
A · per token kind,"N x M, no unit",2033 rows; single in same category: 45; active online: 94
A · per token kind,pack word only,1268 rows; single in same category: 119; active online: 395
B · sample titles,ISI N,ENERGEN VANILA BOX ISI 5 @ 32GR || OVALTINE CRUNCHY ICED CHOCO ISI 18 STIK @ 32GR || FRISIAN FLAG KENTAL MANIS SACHET ISI 6 @37 GR || FRISIAN FLAG SUSU KENTAL MANIS CHOCO SACHET ISI 6 @37 GR || MILKITA SUSU KENTAL MANIS COKELAT ISI 6 SACHET || MILKITA SUSU KENTAL MANIS PLAIN ISI 6 SACHET || WRP LOSE WEIGHT COKLAT SEREAL ISI 6 @54GR || WRP LOSE WEIGHT COFFEE ISI 6 @54GR || WRP LOSE WEIGHT MOCHA GREEN TEA ISI 6 @54GR || WRP LOSE WEIGHT STROBERI ISI 6 @54GR || TROPICANA SLIM GOLDENMIL VANILLA ISI 6 @ 25GR || HILO SCHOOL VANILLA BAG ISI 10 @35GR
B · sample titles,N x M + unit,DANCOW FORTGR INSTANT PBG 10X27 GR || MORINAGA CHIL KID PLAT STICK VAN 12X16GR || NESTLE CERELAC BUBUR CEREAL RISENUTRI SACHET 4X20GR || HARPIC POWER PLUS 10X 220 ML || HARPIC POWER PEMBERSIH TOILET 10X 90ML || PLEDGE AERO ORANGE 12 X 330 GR || PONDS BEST SELLER MASK 2+1 BUNDLE 6X1PC || LIFEBUOY BODY WASH MILDCARE YOGHURT TWIN PACK 400X450 ML || POLYTEX KAIN SPON 6X12 PC || TRESEMME VOLUM THICKENING SPRAY R 6X193GR || TRESEMME KER SMOOTH SHINE SERUM R 6X97 ML || SHARON BAGELEN KERING BAL 30X10GR
B · sample titles,"N x M, no unit",TWB F PACK STROBERI 3X20 || KASA HYDROPHYL PARAMITA 16X16CM || SALONPAS HOT KOYO MERAH 12X1 LBR || SALONPAS KOYO HOT 5X2 LEMBAR || SALONPAS KOYO 5X2LBR || UNI PAD FOR PET 60X90 CM || ANCHOR NEW ZEALAND M/DISH SALTED 1X7'S || DANISH LURPAK BUTTER UNSALTED 30X10X10 GR || POTENTATE HAND BOOK 110X172MM || POTENTATE HAND BOOK PINK 11X17CM || POTENTATE HAND BOOK 90X140MM || POTENTATE WATERCOLOR PAPER 190X260MM (CP)
B · sample titles,pack word only,SGM EKSPLOR 1+ VANILA BOX 900 GR || SGM EKSPLOR MADU BOX 150 GR || SGM 2 BOX 150 GR || SGM EKSPLOR 1+ MADU BOX 900 GR || SGM EKSPLOR 3+ MADU BOX 600 GR || SGM 1 NB BOX 150 GR || SGM ANANDA 6-12 BULAN BOX 550 GR (12) || SGM ANANDA 0-6 BULAN BOX 550 GR || SGM EKSPLOR 1+ MADU BOX 400GR || SGM ANANDA 6-12 BULAN BOX 400 GR || SGM ANANDA 0-6 BULAN BOX 400 GR || SGM EKSPLOR AKTIF 1+ VANILA BOX 400 GR
