measure,bucket,value
pack rows · top categories,1413 PELEMBUT & PEWANGI PAKAIAN (SOFTENER) KEMASAN REFILL (POUCH),12
pack rows · top categories,1414 PELICIN PAKAIAN KEMASAN REFILL (POUCH),6
pack rows · top categories,142 MULTIVITAMIN & SUPLEMEN,2
pack rows · top categories,1422 CAIRAN PEMBERSIH KAMAR MANDI & KLOSET (PORSTEX),1
pack rows · top categories,1424 CAIRAN PEMBERSIH LANTAI,1
pack rows · top categories,1425 KARBOL,1
pack rows · top categories,1426 PEMBERSIH & SEMIR KAYU UNTUK MEBEL (FURNITURE POLISH),1
pack rows · top categories,1432 PENGHARUM RUANGAN ELEKTRIK ALAT & ISINYA,2
pack rows · top categories,1433 PENGHARUM RUANGAN ELEKTRIK REFILL SAJA,6
pack rows · top categories,1435 PERALATAN DAN PENYIMPANAN DI KAMAR MANDI,1
pack rows · top categories,144 OBAT-OBATAN,6
pack rows · top categories,1440 PERLENGKAPAN KAMAR & KAMAR MANDI,5
pack rows · top categories,1442 PERLENGKAPAN LAINNYA,3
pack rows · top categories,1445 CAPO GITAR,1
pack rows · top categories,1450 PIANIKA,2
pack rows · top categories,1455 CELANA OLAHRAGA PRIA,1
pack rows · top categories,146 KEBUTUHAN KHUSUS LANJUT USIA,4
pack rows · top categories,1470 KECAP MANIS KEMASAN REFILL (POUCH),2
pack rows · top categories,1473 POPOK (DIAPERS) ANAK & BAYI SEKALI PAKAI (DISPOSABLE) MODEL CELANA,5
pack rows · top categories,1474 POPOK (DIAPERS) ANAK & BAYI SEKALI PAKAI (DISPOSABLE) DENGAN PEREKAT,1
pack rows · top categories,1476 SABUN BADAN CAIR KEMASAN REFILL,6
pack rows · top categories,1478 SABUN CUCI TANGAN CAIR KEMASAN REFILL (POUCH),1
pack rows · top categories,148 ANTI HAMA & SERANGGA,10
pack rows · top categories,1482 OBAT BATUK & PILEK DEWASA,9
pack rows · top categories,1483 OBAT DIARE,2
pack rows · top categories,1484 OBAT LAMBUNG,2
pack rows · top categories,1485 OBAT PENCAHAR,1
pack rows · top categories,1486 OBAT PENCERNAAN LAINNYA,2
pack rows · top categories,1496 CAIRAN PENCUCI PIRING KEMASAN REFILL (POUCH),3
pack rows · top categories,1500 CAIRAN PEMBERSIH KAMAR MANDI & KLOSET (PORSTEX) KEMASAN BOTOL,3
pack rows · top categories,1501 CAIRAN PEMBERSIH KAMAR MANDI & KLOSET (PORSTEX) KEMASAN REFILL (POUCH),1
pack rows · top categories,151 PENGHARUM RUANGAN,8
pack rows · top categories,1514 SERAP AIR & PENYERAP BAU KEMASAN BIASA,1
pack rows · top categories,1515 SERAP AIR & PENYERAP BAU KEMASAN REFILL (POUCH),1
pack rows · top categories,1519 MASKER ANTI DEBU,87
pack rows · top categories,1521 PENGANGKAT DEBU PAKAIAN (LINT ROLLER),1
pack rows · top categories,1523 SABUT & SPONS,1
pack rows · top categories,1528 TISU,1
pack rows · top categories,1529 BASKOM AIR,1
pack rows · top categories,1535 RAK GANTUNG HANDUK,3
pack rows · top categories,1540 SPONS MANDI (SHOWER NET),3
pack rows · top categories,1541 ALAT DAPUR & AKSESORIS DAPUR,59
pack rows · top categories,1543 TEMPAT PENYIMPANAN MAKANAN & MINUMAN,23
pack rows · top categories,1546 TEMPAT PENYIMPANAN LAINNYA,21
pack rows · top categories,1547 ALAS SETRIKAAN,1
pack rows · top categories,1548 GANTUNGAN / JEMURAN BAJU,16
pack rows · top categories,1550 JEPIT UNTUK JEMURAN,7
pack rows · top categories,1551 KERANJANG LAUNDRY,12
pack rows · top categories,1553 LEMARI PENYIMPANAN SUSUN,1
pack rows · top categories,1558 BANTAL DEWASA,1
pack rows · top categories,1559 CERMIN,26
pack rows · top categories,156 GERGAJI,1
pack rows · top categories,1561 HANDUK,67
pack rows · top categories,1563 KAPSTOK,6
pack rows · top categories,1564 KASUR,19
pack rows · top categories,1567 SELIMUT (BEDCOVER),128
pack rows · top categories,1568 SPREI,643
pack rows · top categories,1569 TIRAI,13
pack rows · top categories,1571 BENDERA MERAH PUTIH,10
pack rows · top categories,1572 RAK SIKU,22
pack rows · top categories,1573 TAPLAK MEJA,28
pack rows · top categories,1574 TIKAR,9
pack rows · top categories,1583 KAIN KESET,16
pack rows · top categories,1584 KAIN LAP,3
pack rows · top categories,1585 KAIN LAP TANGAN,4
pack rows · top categories,1586 KAIN MICROFIBER,8
pack rows · top categories,1587 KAIN PEL,2
pack rows · top categories,1588 KAIN SERBET,10
pack rows · top categories,1589 LAP KANEBO,1
pack rows · top categories,1590 SABUT & SPONS DUA SISI UNTUK DAPUR,6
pack rows · top categories,1591 SABUT NILON SAJA,2
pack rows · top categories,1592 SABUT STAINLESS STEEL,3
pack rows · top categories,1593 SPON / BUSA SAJA,6
pack rows · top categories,1597 SARUNG TANGAN KAIN,2
pack rows · top categories,1599 SARUNG TANGAN LATEX,3
pack rows · top categories,16 FRESH,2
pack rows · top categories,160 KUAS CAT,1
pack rows · top categories,1607 TISU BASAH NON BABY,47
pack rows · top categories,1608 TISU DAPUR,3
pack rows · top categories,1609 TISU FACIAL (HALUS),55
pack rows · top categories,1610 TISU GULUNG,24
pack rows · top categories,1611 TISU NAPKIN (KASAR),8
pack rows · top categories,1619 TEMPAT TISSUE MEJA,8
pack rows · top categories,1623 BASKOM SAYUR,2
pack rows · top categories,1624 CELEMEK,1
pack rows · top categories,1625 CEMPAL,8
pack rows · top categories,1627 CETAKAN / LOYANG KUE,27
pack rows · top categories,1628 CETAKAN AGAR/PUDDING,1
pack rows · top categories,163 OBENG,1
pack rows · top categories,1635 GULUNGAN ALUMINUM FOIL,6
pack rows · top categories,1638 KANTONG PLASTIK KRESEK,44
pack rows · top categories,1643 NAMPAN,4
pack rows · top categories,1648 PERESAN JERUK,1
pack rows · top categories,1650 PLASTIK BENING CLING WRAP,14
pack rows · top categories,1656 SENDOK DAPUR,3
pack rows · top categories,1659 TEMPAT PENYIMPAN ALAT MAKAN,1
pack rows · top categories,1663 TUSUK SATE,2
pack rows · top categories,1664 WADAH AIR / TEKO AIR MINUM (JUG),1
pack rows · top categories,1671 WAJAN,7
pack rows · top categories,1672 TEMPAT PENYIMPANAN MAKANAN,23
pack rows · top categories,1675 PLASTIK SAMPAH,25
pack rows · top categories,1678 SENDOK,7
pack rows · top categories,1683 CANGKIR,1
pack rows · top categories,1691 KONTAINER,54
pack rows · top categories,170 STOP KONTAK,1
pack rows · top categories,1701 NAMPAN PLASTIK,7
pack rows · top categories,1708 SENDOK TAKAR,1
pack rows · top categories,1714 SELANG KOMPOR GAS,1
pack rows · top categories,1719 PANCI SAYUR,1
pack rows · top categories,1721 KOTAK MAKAN PLASTIK,122
pack rows · top categories,1723 TOPLES,17
pack rows · top categories,1724 ZIPPER BAG,25
pack rows · top categories,1725 KOTAK MAKAN KERTAS UNTUK CATERING,18
pack rows · top categories,1726 ANEKA BOTOL KOSONG,1
pack rows · top categories,1727 BOTOL MINUM PLASTIK,1
pack rows · top categories,173 BAUT/SEKRUP,86
pack rows · top categories,1730 BESEK ANYAMAN,1
pack rows · top categories,1731 KERANJANG ANYAMAN,1
pack rows · top categories,1732 KERANJANG TELUR BESI,2
pack rows · top categories,1733 KERANJANG UNTUK AIR MINERAL GELAS,5
pack rows · top categories,1734 GARPU PLASTIK,4
pack rows · top categories,1735 GARPU STAINLESS,5
pack rows · top categories,1736 SENDOK PLASTIK,8
pack rows · top categories,1737 SENDOK STAINLESS ,7
pack rows · top categories,1741 PIRING KERTAS,2
pack rows · top categories,1742 PIRING MELAMIN,2
