measure,bucket,value
pack rows · top categories,746 LENGKUAS,2
pack rows · top categories,749 LOBAK (RADISH),1
pack rows · top categories,75 MAKANAN & MINUMAN BAYI,20
pack rows · top categories,752 OYONG,1
pack rows · top categories,754 PAKCOY,1
pack rows · top categories,756 PAPRIKA,5
pack rows · top categories,757 PARIA,1
pack rows · top categories,76 SNACK BAYI,9
pack rows · top categories,763 SAWI PUTIH,2
pack rows · top categories,764 SAYURAN CAMPUR DALAM KEMASAN,35
pack rows · top categories,77 SUSU FORMULA BAYI,27
pack rows · top categories,771 SELADA ROMAINE,1
pack rows · top categories,772 SELEDRI,1
pack rows · top categories,774 TAHU,5
pack rows · top categories,776 TAOGE,2
pack rows · top categories,777 TEMPE,2
pack rows · top categories,779 TERONG,4
pack rows · top categories,78 MINUMAN DALAM KEMASAN,6
pack rows · top categories,781 TIMUN,5
pack rows · top categories,782 TOMAT,6
pack rows · top categories,784 WORTEL,1
pack rows · top categories,785 ZUKINI,2
pack rows · top categories,787 TELUR ASIN PACK,4
pack rows · top categories,789 TELUR AYAM KAMPUNG PACK,3
pack rows · top categories,790 TELUR AYAM PACK,11
pack rows · top categories,791 TELUR PUYUH PACK,1
pack rows · top categories,793 PAKET SIKAT GIGI DAN PASTA GIGI ANAK & BAYI,6
pack rows · top categories,795 SIKAT GIGI ANAK & BAYI,3
pack rows · top categories,80 KOPI INSTAN (RTD),60
pack rows · top categories,804 SABUN ANAK & BAYI,1
pack rows · top categories,807 TOP TO TOE WASH ANAK & BAYI,1
pack rows · top categories,81 KRIMER,1
pack rows · top categories,814 GUNTING KUKU,1
pack rows · top categories,818 SIKAT BOTOL SUSU & DOT,1
pack rows · top categories,826 PERALATAN MAKAN ANAK & BAYI ,10
pack rows · top categories,829 BOTOL SUSU,1
pack rows · top categories,83 TEH INSTAN,6
pack rows · top categories,830 DOT & EMPENG (PACIFIER),12
pack rows · top categories,835 COOLER BAG,5
pack rows · top categories,836 GENDONGAN,1
pack rows · top categories,841 COTTON BALL ANAK & BAYI,5
pack rows · top categories,842 COTTON BUD ,82
pack rows · top categories,845 TISU BASAH (BABY WIPES),78
pack rows · top categories,85 COKLAT MAKANAN KECIL,29
pack rows · top categories,850 BIB/SLABER BAYI,1
pack rows · top categories,855 HANDUK ANAK & BAYI,9
pack rows · top categories,858 WASLAP MANDI ANAK & BAYI,7
pack rows · top categories,867 BANTAL ANAK & BAYI,1
pack rows · top categories,870 PERLAK ANAK & BAYI,7
pack rows · top categories,873 KONDISIONER RAMBUT (HAIR CONDITIONER),7
pack rows · top categories,874 MASKER RAMBUT (HAIR MASK),1
pack rows · top categories,875 PENATA RAMBUT (WAX/GEL/POMADE/FOAM),2
pack rows · top categories,877 PEWARNA RAMBUT,4
pack rows · top categories,878 SERUM RAMBUT,2
pack rows · top categories,879 SHAMPOO,100
pack rows · top categories,88 KACANG DAN SNACK LAINNYA,3
pack rows · top categories,880 SPRAY RAMBUT,4
pack rows · top categories,882 VITAMIN RAMBUT,23
pack rows · top categories,883 FACE MOISTURIZER,1
pack rows · top categories,884 KAPAS KECANTIKAN,4
pack rows · top categories,885 KERTAS MINYAK WAJAH,2
pack rows · top categories,889 MASKER KECANTIKAN,11
pack rows · top categories,891 PEMBERSIH WAJAH (FACE WASH),3
pack rows · top categories,892 PORE PACK,5
pack rows · top categories,894 SERUM WAJAH,2
pack rows · top categories,896 ANTI NYAMUK,1
pack rows · top categories,899 BODY LOTION,3
pack rows · top categories,9 Kosmetik dan Alat Kecantikan,2
pack rows · top categories,90 BINGKISAN SNACK,1
pack rows · top categories,904 SABUN BADAN,1
pack rows · top categories,905 SABUN CUCI TANGAN,1
pack rows · top categories,909 OBAT KUMUR (MOUTHWASH) DEWASA,3
pack rows · top categories,910 PAKET SIKAT GIGI DAN PASTA GIGI DEWASA,1
pack rows · top categories,911 PASTA GIGI DEWASA,11
pack rows · top categories,912 SIKAT GIGI DEWASA,97
pack rows · top categories,914 TUSUK GIGI ,5
pack rows · top categories,918 ALAT CUKUR,22
pack rows · top categories,921 PANTY LINER,56
pack rows · top categories,922 PEMBALUT,175
pack rows · top categories,924 VITAMIN & MULTIVITAMIN,57
pack rows · top categories,929 OBAT MINUM,1
pack rows · top categories,93 BUMBU DAPUR,7
pack rows · top categories,932 ALAT TES KEHAMILAN,1
pack rows · top categories,933 KONDOM,21
pack rows · top categories,935 POPOK (DIAPERS) DEWASA,1
pack rows · top categories,937 ANTI NYAMUK BAKAR,20
pack rows · top categories,939 KAMPER / KAPUR BARUS (CAMPHOR/NAPHTALENE BALL),30
pack rows · top categories,940 KAPUR ANTI HAMA,4
pack rows · top categories,941 LEM/PERANGKAP/JEBAKAN HAMA,4
pack rows · top categories,943 DETERJEN PAKAIAN,1
pack rows · top categories,944 PELEMBUT & PEWANGI PAKAIAN (SOFTENER),11
pack rows · top categories,945 PELICIN PAKAIAN ,1
pack rows · top categories,95 GULA & PEMANIS,2
pack rows · top categories,953 PENGHARUM RUANGAN GANTUNG,1
pack rows · top categories,955 PERALATAN RUMAH TANGGA,99
pack rows · top categories,956 PERLENGKAPAN RUMAH TANGGA,3
pack rows · top categories,957 BOR LISTRIK,1
pack rows · top categories,96 MADU,23
pack rows · top categories,962 KUNCI PAS,8
pack rows · top categories,963 KUNCI RING,21
pack rows · top categories,965 KUNCI SOCKET,2
pack rows · top categories,966 OBENG BIASA,2
pack rows · top categories,97 MAKANAN BEKU,1
pack rows · top categories,972 BANTAL AKSESORIS,8
pack rows · top categories,977 KARPET MOBIL,7
pack rows · top categories,979 PEWANGI MOBIL,15
pack rows · top categories,988 SABUT & SPONS DUA SISI UNTUK MOBIL,1
pack rows · top categories,"99 MIE, BIHUN, KWETIAU INSTAN",1
pack rows · unit that follows the multiplier,(no unit),2055
pack rows · unit that follows the multiplier,G,2
pack rows · unit that follows the multiplier,GR,49
pack rows · unit that follows the multiplier,KG,3
pack rows · unit that follows the multiplier,L,1
pack rows · unit that follows the multiplier,ML,56
pack rows · unit that follows the multiplier,PC,2
pack titles · totals,ISI N,3521
pack titles · totals,any pack token,6934
pack titles · totals,any pack token · active,5529
pack titles · totals,any pack token · active online,2572
pack titles · totals,multiplier N x M,2168
pack titles · totals,pack word,1583
