id,name,depth,is_leaf,products,full_path,measured_need,measured_n,share_net_content,share_pack_count,share_colour,share_flavour,share_material,share_garment_size,share_scent,share_model_code,inferred_verdict,inferred_node,inferred_n,inferred_attrs,inferred_flagged_ancestor,inferred_tier
1099,KABEL PRINTER,4,true,6,Elektronik > ALAT ELEKTRONIK KANTOR & GADGET > SUKU CADANG KOMPUTER > KABEL PRINTER,colour,1,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,,0,,,fuzzy-raw
1119,STEMPEL,4,true,6,Alat dan Buku Tulis > PERALATAN UMUM > CAP/STEMPEL > STEMPEL,model_code,1,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.667,UNMAPPED,,0,,,
1184,KAMISOL / KEMBEN WANITA,4,true,6,Fashion > FASHION WANITA > ATASAN WANITA > KAMISOL / KEMBEN WANITA,,0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,UNMAPPED,,0,,,
1208,ROK BATIK WANITA,4,true,6,Fashion > FASHION WANITA > BATIK WANITA > ROK BATIK WANITA,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1238,ANKLE SUPPORT (PERGELANGAN KAKI),4,true,6,Fashion > PAKAIAN OLAHRAGA > PAKAIAN PELINDUNG OLAHRAGA > ANKLE SUPPORT (PERGELANGAN KAKI),,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1331,SNACK SEBLAK,5,true,6,Makanan dan Minuman > MAKANAN KECIL  > KACANG DAN SNACK LAINNYA > JAJANAN TRADISIONAL > SNACK SEBLAK,net_content,1,0.833,0.0,0.0,0.167,0.0,0.0,0.167,0.167,UNMAPPED,,0,,,
1337,SEBLAK SIAP SAJI,5,true,6,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > MAKANAN DALAM KEMASAN & KALENG > MAKANAN SIAP SAJI > SEBLAK SIAP SAJI,flavour|net_content,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1345,KECAP IKAN,5,true,6,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > SAUS > KECAP > KECAP IKAN,net_content,1,1.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,EXACT,"Makanan, Minuman & Tembakau > Item Makanan > Kondimen & Saus > Kecap Ikan",3,Informasi alergen | Preferensi diet | Persyaratan penyimpanan,False,exact-raw
1348,KECAP LAINNYA,5,true,6,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > SAUS > KECAP > KECAP LAINNYA,flavour|net_content,2,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,EXACT,"Makanan, Minuman & Tembakau > Item Makanan > Kondimen & Saus > Kecap",5,Informasi alergen | Preferensi diet | Metode fermentasi | Variasi kecap | Persyaratan penyimpanan,False,exact-raw
1371,DEODORAN STICK,5,true,6,Perawatan Diri & Rumah Tangga > Perawatan Diri > FRAGRANCE & DEODORAN > DEODORAN > DEODORAN STICK,net_content,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1377,SUPLEMEN MAKANAN DEWASA,5,true,6,Perawatan Diri & Rumah Tangga > Perawatan Diri > MULTIVITAMIN & SUPLEMEN > SUPLEMEN MAKANAN > SUPLEMEN MAKANAN DEWASA,net_content,1,0.667,0.0,0.0,0.167,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
