id,name,name_en,depth,numchild,full_code,ancestor_names,products,products_active,products_subtree,children_sample,title_sample
48,AKSESORIS FASHION DEWASA,,2,12,A008-02,Fashion,385,366,3227,AKSESORIS FASHION DEWASA LAINNYA | AKSESORIS RAMBUT DEWASA | DASI DEWASA | IKAT PINGGANG | JEPIT DASI  | KIPAS TANGAN LIPAT | KUPLUK DEWASA | UNTUK HUJAN | ROLL (GULUNGAN) RAMBUT DEWASA | SAPU TANGAN DEWASA | SYAL DEWASA | TOPI DEWASA,T4 CREAM :: T4 CREAM SET :: W907 PUFF BULAT 3 :: SPONGE SET 2 B :: TEMPAT CREAM KUPING :: SPONGE JELLY :: A0206 CETAK EYELINER :: KUAS BATIK :: ALAT SILET ALIS :: STICKER ALIS :: SPON BEDAK TABUR LC BULU :: T4 SPONGE BEDAK :: F041 PUFF KOTAK & BULAT :: B0974 PUFF KOTAK
57,SEPATU ANAK & BAYI,,2,2,A008-11,Fashion,379,374,1857,SEPATU ANAK & BAYI LAKI-LAKI | SEPATU ANAK & BAYI PEREMPUAN,SEPATU VANEL :: PS-2134 SEPATU SOL MANGKOK BUNYI NO 20-22 :: PS-1224 SANDAL BUNYI NO 20.21.22 :: PS-1225 SANDAL BUNYI NO 20.21.22 :: PS-0177 SEPATU BABY BALIK NO 2.3.4 KOMBINASI :: PS-1221 SANDAL BUNYI NO 20.21.22 :: PS-1229 SANDAL BUNYI NO 20.21.22 :: PS-1231 SANDAL BUNYI NO 20.21.22 :: PS-1220 SANDAL BUNYI NO 20.21.22 :: PS-1219 SANDAL BUNYI NO 20.21.22 :: PS-2128 SEPATU SOL MANGKOK BUNYI NO 20-22 :: PS-0183 SEPATU BABY BALIK NO 2.3.4 :: PS-2126 SEPATU SOL MANGKOK BUNYI NO 20.21.22 :: PS-21333 SEPATU SOL MANGKOK BUNYI NO 20-22
42,DEKORASI & KELENGKAPAN PESTA,,2,12,A007-05,Alat dan Buku Tulis,378,338,1021,BALON | CAPING TOPI PETANI | FRAME FOTO | KEMBANG API | LILIN | PELUIT LIDAH | STIKER | STRING SPRAY | TEROMPET | TOPENG PESTA | TOPI PESTA/TOPI ULANG TAHUN | AKSESORIS ULANG TAHUN LAINNYA,"KOKORU FP STRIPE ICHI :: BENNER TULISAN :: BENNER ENGAGEMENT :: GANTUNGAN TIPIS :: TOPER BOLA :: SLEMPANG WISUDA :: AMPAU POHON :: KETUPAT EMAS K/3 :: AMPAU B :: SLINGER K.. :: POM-POM 14"" :: POM-POM 10"" :: KETUPAT EMAS ST :: SLINGER MERAH PUTIH"
1541,ALAT DAPUR & AKSESORIS DAPUR,,6,47,A003-02-05-01-03-01,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR,361,307,2134,ALAT PEMBUAT KOPI | ASBAK | BAKARAN / PANGGANGAN IKAN | BASKOM SAYUR | CELEMEK | CEMPAL | CENTONG | CETAKAN / LOYANG KUE | CETAKAN AGAR/PUDDING | CETAKAN ES BATU | COBEK/COWET/ULEKAN | COFFEE PLUNGER (ALAT PENYEDUH BUBUK KOPI),HOMLIV PILATO PENGASUH PISAU 2 SISI :: FILER 2 MATA :: FRUITS PEELER :: IRISAN BAWANG FUJIKA :: ICE BUCKET IB - 2LITER :: ICE BUCKET IB-3LITER :: S807-26 STEAM WARE 26CM :: S807-28 STEAM WARE 28CM :: STEAM WARE BUNGA :: STEAM WARE 22 CM S807-22 :: S807-24 STEAM WARE 24 CM :: KERTAS DOILY 5.5 INCH (/10) :: KERTAS DOILY 3.5 INCH ISI 10 :: KERTAS DOILY 7.5 INCH ISI 10
1796,CARDINAL OBRAL,,4,8,Z003-B001-05-02,UNUSED > AREA DISPLAY > CARDINAL,353,353,357,JEANS OBRAL | FORMAL OBRAL | COTTON OBRAL | FEMME OBRAL | LADIES OBRAL | KEMEJA OBRAL | CASUAL OBRAL | GIRL OBRAL,TBUBICA084K 04G :: TBCBIJ0260K 14B :: TBCBIC0148K 12C :: RAGART0014P 02H :: TBCBICA078B 01A :: HAIAR00130P 04D :: HAKAI00268P 03B :: TBUBICA080B 06E :: IAKAI00216J 02H :: FBSBI00001X XXX :: TAKAIC0718O 11B :: HAIAR00080P 04A :: RBCBPJ0027B 15D :: HAIAR00087P 09G
404,PAKAIAN DALAM WANITA,,3,4,A008-05-07,Fashion > FASHION WANITA,299,288,2839,BRA WANITA | CELANA DALAM WANITA | KORSET WANITA | SET BRA WANITA,MINISET SHANGMEI :: MINISET M 31 XIANSHIN :: MINISET F 829 :: MINISET F 825 :: MINISET F 455 :: MINISET F 833 :: MINISET F 827 :: MINISET F 838 :: MINISET F 721 :: 907 XL :: 907 L :: M 732 :: M 1335 :: M 213
391,PAKAIAN BAYI,,3,8,A008-03-03,Fashion > FASHION ANAK & BAYI,277,277,1050,ATASAN BAYI | BAWAHAN BAYI | KAIN ALAS | KAIN BEDONG | SARUNG KAKI BAYI | SARUNG TANGAN BAYI | SETELAN BAYI | TOPI BAYI,ZIPPER POLOS BAMBOO 0-3 :: BM FULL PRINT BUNGA BIRU 2Y :: MILLIE SLEEPSUIT 3-6 :: MILLIE PLAYSUIT 3-6 :: LBC-BKDJPR1 LBC BAJU KODOK PANJANG PRINT RIB BZ :: LBC BAJU KODOK SEGIEMPAT PRINT TX :: LBC-BKD3PR_BZ LBC BAJU KODOK SEGITIGA  PRINT :: DAS7238-SETELAN OVERALL BAYI BRIELLE 6-12 BULAN :: KD-SA131-A JUMPER TUTUP KAKI :: DLS7234 STK NECI PREM EARTHTONE CVC :: 23050 KDK PJ MIX BOY TK 0-3 :: 35102 W OBL PDK WARNA S :: 40348 OBL PJ L LITTLE STRIPE :: 37302 W OBL PDK WARNA L
40,BUKU BACAAN,,2,4,A007-03,Alat dan Buku Tulis,252,249,812,BUKU ANAK-ANAK | BUKU FIKSI | BUKU NON FIKSI | BUKU ROHANI,BUKAN MAU MERINDU TM229086 :: SELEPAS LUKA GE229622 :: MAP 9.0 :: SI PANDA BERUANG VEGETARIAN MI :: IQRO HITAM BESAR MI :: BELAJAR M.M.M DINOSAURUS MI :: BELAJAR MENULIS ANGKA&BERHITUNG :: AL-QUR'AN AL-HUFAZ A5 REGULER MI :: AKU BISA BACA TULIS HURUF AL-QURAN MI :: KUMPULAN CERITA 25 NABI & ROSUL MI :: AL-QU'RAN AL-MUTTAQIN A5 NEW :: AL MALIK BIRU USTMANI :: AYO BELAJAR MENULIS A-Z MI :: TYRANNNOSAURUS SI SOMBONG YANG MALANG MI
51,FASHION WANITA,,2,9,A008-05,Fashion,252,249,9371,ATASAN WANITA | BAJU LUARAN WANITA | BAJU MUSLIM WANITA | BATIK WANITA | BAWAHAN WANITA | GAUN | PAKAIAN DALAM WANITA | PAKAIAN HAMIL & MENYUSUI WANITA | PAKAIAN TIDUR WANITA,307-30002C LRG GRY L ONE SET :: SEKAR MEKAR BATIK ONE SET SZ M 76639 :: STELAN DWS MOTIF BUNGA TANGKAI BIRU NAVY DSR CREAM :: STELAN DWS MOTIF BUNGA KECIL HIJAU NAVY :: STL 13259 A/C 13169B CRINCLE :: PAMELA SETELAN RAYON KULOT JUMBO :: SENSO SETELAN RAYON  KULOT JUMBO :: BUNGA MATARAM - SETELAN KULOT JUMBO PENDEK :: RUMPUT PIRAMIDA - SETELAN KULOT JUMBO PENDEK :: KEMBANG API - SETELAN KULOT JUMBO PENDEK :: MATAHARI - SETELAN KULOT JUMBO PENDEK :: DIANA - SETELAN KULOT JUMBO PENDEK :: COKELAT JMB 130 - SETELAN ONE SET JUMBO :: HITAM JMB 130 - SETELAN ONE SET JUMBO
7,Alat dan Buku Tulis,Stationary and Books,1,9,A007,,241,209,6470,ALAT MENGGAMBAR / MELUKIS | ALAT TULIS | BUKU BACAAN | BUKU TULIS | DEKORASI & KELENGKAPAN PESTA | FILE ORGANIZER | KERTAS | PERALATAN UMUM | KARTU UCAPAN,"POTENTATE CONCERTINA BOOK 300GSM :: ARTO GLITTERING COLOUR CARD SILVER ISI 10 LEMBAR :: BAMBI COLOUR INDEX A4 :: MICROTOP MILIMETER BLOCK FOLIO (MC-51) :: RHODIA ORANGE STAPLED PAD N""11 A7 L 80 GRAM :: RHODIA BLACK STAPLED PAD A7 90 GRAM :: RHODIA BLACK STAPLED PAD A7 80 GRAM :: RHODIA ORANGE STAPLED PAD N""12 L 80 GRAM :: RHODIA ORANGE STAPLED PAD N""12 DOT 80GRAM :: RHODIA ORANGE STAPLED PAD N""13 A6 L 80 GRAM :: RHODIA ORANGE STAPLED PAD N""14 L 80 GRAM :: RHODIA BLACK STAPLED PAD ""N""14 5/5 80GRAM :: RHODIA ORANGE STAPLED PAD N""14 5/5 80GRAM :: RHODIA BLACK STAPLED PAD ""N""16 A5 5/5 80GRAM"
