id,name,name_en,depth,numchild,is_leaf,full_code,code,is_public,ancestors_are_public,path,parent_id,parent_name,ancestor_names,full_path_name,products,products_active,products_subtree
1244,WRIST SUPPORT (PERGELANGAN TANGAN),,4,0,true,A008-08-03-07,07,true,true,0008000800030007,415,PAKAIAN PELINDUNG OLAHRAGA,Fashion > PAKAIAN OLAHRAGA > PAKAIAN PELINDUNG OLAHRAGA,Fashion > PAKAIAN OLAHRAGA > PAKAIAN PELINDUNG OLAHRAGA > WRIST SUPPORT (PERGELANGAN TANGAN),0,0,0
55,PERHIASAN ANAK,,2,6,false,A008-09,09,true,true,00080009,8,Fashion,Fashion,Fashion > PERHIASAN ANAK,0,0,36
416,ANTING ANAK-ANAK,,3,0,true,A008-09-01,01,true,true,000800090001,55,PERHIASAN ANAK,Fashion > PERHIASAN ANAK,Fashion > PERHIASAN ANAK > ANTING ANAK-ANAK,2,2,2
417,BROS ANAK-ANAK,,3,0,true,A008-09-02,02,true,true,000800090002,55,PERHIASAN ANAK,Fashion > PERHIASAN ANAK,Fashion > PERHIASAN ANAK > BROS ANAK-ANAK,6,6,6
418,CINCIN ANAK-ANAK,,3,0,true,A008-09-03,03,true,true,000800090003,55,PERHIASAN ANAK,Fashion > PERHIASAN ANAK,Fashion > PERHIASAN ANAK > CINCIN ANAK-ANAK,9,4,9
419,GELANG ANAK-ANAK,,3,0,true,A008-09-04,04,true,true,000800090004,55,PERHIASAN ANAK,Fashion > PERHIASAN ANAK,Fashion > PERHIASAN ANAK > GELANG ANAK-ANAK,10,5,10
420,KALUNG ANAK-ANAK,,3,0,true,A008-09-05,05,true,true,000800090005,55,PERHIASAN ANAK,Fashion > PERHIASAN ANAK,Fashion > PERHIASAN ANAK > KALUNG ANAK-ANAK,9,9,9
421,LIONTIN ANAK-ANAK,,3,0,true,A008-09-06,06,true,true,000800090006,55,PERHIASAN ANAK,Fashion > PERHIASAN ANAK,Fashion > PERHIASAN ANAK > LIONTIN ANAK-ANAK,0,0,0
56,PERHIASAN DEWASA,,2,6,false,A008-10,10,true,true,0008000A,8,Fashion,Fashion,Fashion > PERHIASAN DEWASA,8,7,316
422,ANTING DEWASA,,3,0,true,A008-10-01,01,true,true,0008000A0001,56,PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA > ANTING DEWASA,49,40,49
423,BROS DEWASA,,3,0,true,A008-10-02,02,true,true,0008000A0002,56,PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA > BROS DEWASA,117,95,117
424,CINCIN DEWASA,,3,0,true,A008-10-03,03,true,true,0008000A0003,56,PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA > CINCIN DEWASA,59,39,59
425,GELANG DEWASA,,3,0,true,A008-10-04,04,true,true,0008000A0004,56,PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA > GELANG DEWASA,39,19,39
426,KALUNG DEWASA,,3,0,true,A008-10-05,05,true,true,0008000A0005,56,PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA > KALUNG DEWASA,41,27,41
427,LIONTIN DEWASA,,3,0,true,A008-10-06,06,true,true,0008000A0006,56,PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA,Fashion > PERHIASAN DEWASA > LIONTIN DEWASA,3,3,3
57,SEPATU ANAK & BAYI,,2,2,false,A008-11,11,true,true,0008000B,8,Fashion,Fashion,Fashion > SEPATU ANAK & BAYI,379,374,1857
428,SEPATU ANAK & BAYI LAKI-LAKI,,3,7,false,A008-11-01,01,true,true,0008000B0001,57,SEPATU ANAK & BAYI,Fashion > SEPATU ANAK & BAYI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,168,161,886
1245,KAUS KAKI ANAK & BAYI LAKI-LAKI,,4,0,true,A008-11-01-01,01,true,true,0008000B00010001,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > KAUS KAKI ANAK & BAYI LAKI-LAKI,203,198,203
1246,SANDAL ANAK LAKI-LAKI,,4,0,true,A008-11-01-02,02,true,true,0008000B00010002,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > SANDAL ANAK LAKI-LAKI,298,290,298
1247,SANDAL GUNUNG ANAK LAKI-LAKI,,4,0,true,A008-11-01-03,03,true,true,0008000B00010003,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > SANDAL GUNUNG ANAK LAKI-LAKI,11,11,11
